id;case_id;question_en;question_hi;question_type;options;correct_answer;explanation_en;explanation_hi;display_order
279ba0ca-1d90-4b4b-aea2-f18d6672feb2;3c01245a-b8b1-42b0-af72-0542b54bb54c;What is the first red flag you notice in the email sender's address?;ईमेल भेजने वाले के पते में आप पहला लाल झंडा क्या देखते हैं?;multiple_choice;"[""Using gov-india.net instead of gov.in"",""The email contains emojis"",""The subject line is too long"",""The sender name is unfamiliar""]";"{""answer"":""Using gov-india.net instead of gov.in"",""index"":0}";Official Indian government communications use the gov.in domain. Any variation like gov-india.net is a fake domain designed to look legitimate.;आधिकारिक भारत सरकार के संचार gov.in डोमेन का उपयोग करते हैं। gov-india.net जैसी कोई भी भिन्नता वैध दिखने के लिए बनाया गया नकली डोमेन है।;1
bb71757c-45e1-490b-b6ac-ce7eb82851fc;3c01245a-b8b1-42b0-af72-0542b54bb54c;Legitimate government scholarships typically:;वैध सरकारी छात्रवृत्तियां आमतौर पर:;multiple_choice;"[""Never require upfront payment or processing fees"",""Always use email for initial communication"",""Require urgent action within 24 hours"",""Send money through personal UPI IDs""]";"{""answer"":""Never require upfront payment or processing fees"",""index"":0}";Genuine government scholarship programs NEVER ask for processing fees. All administrative costs are covered by the government. Any request for payment is a clear scam indicator.;वास्तविक सरकारी छात्रवृत्ति कार्यक्रम कभी भी प्रोसेसिंग शुल्क नहीं मांगते। सभी प्रशासनिक लागत सरकार द्वारा वहन की जाती है। भुगतान के लिए कोई भी अनुरोध एक स्पष्ट घोटाला संकेतक है।;2
065ab4a2-2584-4a6c-8050-699d30fcbeea;3c01245a-b8b1-42b0-af72-0542b54bb54c;The payment link uses a URL shortener (bit.ly). Why is this concerning?;भुगतान लिंक URL शॉर्टनर (bit.ly) का उपयोग करता है। यह चिंताजनक क्यों है?;multiple_choice;"[""It hides the true destination, which could be a phishing site"",""URL shorteners are always malicious"",""Government websites cannot use short links"",""It makes the email look unprofessional""]";"{""answer"":""It hides the true destination, which could be a phishing site"",""index"":0}";URL shorteners hide the actual destination. Scammers use them to disguise malicious links. Always hover over links to see the real URL before clicking.;URL शॉर्टनर वास्तविक गंतव्य छुपाते हैं। धोखेबाज दुर्भावनापूर्ण लिंक को छुपाने के लिए उनका उपयोग करते हैं। क्लिक करने से पहले वास्तविक URL देखने के लिए हमेशा लिंक पर होवर करें।;3
dffd4481-27ac-4f9f-8244-7a10bc975012;3c01245a-b8b1-42b0-af72-0542b54bb54c;Based on the WHOIS data, what does the recent domain registration suggest?;WHOIS डेटा के आधार पर, हाल की डोमेन पंजीकरण क्या सुझाव देता है?;short_answer;;"{""keywords"":[""recently created"",""new domain"",""suspicious"",""scam"",""fake"",""temporary""]}";"Domains registered just weeks before being used for ""official"" communications are almost always fraudulent. Legitimate government domains have been registered for years.";"""आधिकारिक"" संचार के लिए उपयोग किए जाने से कुछ ही सप्ताह पहले पंजीकृत डोमेन लगभग हमेशा धोखाधड़ी वाले होते हैं। वैध सरकारी डोमेन वर्षों से पंजीकृत हैं।";4
55c04505-e006-4dc4-94a9-a4dd84e9ddc7;3c01245a-b8b1-42b0-af72-0542b54bb54c;What type of cyber threat does this case represent?;इस मामले में किस प्रकार का साइबर खतरा है?;multiple_choice;"[""Financial Scam / Advance Fee Fraud"",""Ransomware Attack"",""Identity Theft"",""Malware Distribution""]";"{""answer"":""Financial Scam / Advance Fee Fraud"",""index"":0}";This is an Advance Fee Fraud where scammers promise a large reward (scholarship) but require a small upfront payment. Once paid, they either disappear or demand more money.;यह एक अग्रिम शुल्क धोखाधड़ी है जहां धोखेबाज एक बड़े इनाम (छात्रवृत्ति) का वादा करते हैं लेकिन एक छोटे अग्रिम भुगतान की आवश्यकता होती है। भुगतान के बाद, वे या तो गायब हो जाते हैं या अधिक पैसे की मांग करते हैं।;5
01880704-5bf2-4cef-b45b-370fc93670b0;b11cea3f-c479-497e-b528-4ebaa16f6657;What is suspicious about the email domain microsoft-careers.org?;microsoft-careers.org ईमेल डोमेन में क्या संदिग्ध है?;multiple_choice;"[""Microsoft uses microsoft.com for all official communications"",""The .org extension is never used by companies"",""The domain name is too long"",""All company emails should end in .in""]";"{""answer"":""Microsoft uses microsoft.com for all official communications"",""index"":0}";Legitimate companies like Microsoft only use their official domain (microsoft.com). Any variation or look-alike domain is a phishing attempt.;माइक्रोसॉफ्ट जैसी वैध कंपनियां केवल अपने आधिकारिक डोमेन (microsoft.com) का उपयोग करती हैं। कोई भी भिन्नता या समान दिखने वाला डोमेन फ़िशिंग प्रयास है।;1
a81cffe4-8519-47e9-91b5-ebffcaaea496;b11cea3f-c479-497e-b528-4ebaa16f6657;Why is the request to move communication to WhatsApp a red flag?;व्हाट्सएप पर संचार स्थानांतरित करने का अनुरोध लाल झंडा क्यों है?;multi_select;"[""Professional recruitment uses official company email systems"",""WhatsApp makes conversations harder to trace"",""It bypasses company security protocols"",""All of the above""]";"{""answers"":[""Professional recruitment uses official company email systems"",""WhatsApp makes conversations harder to trace"",""It bypasses company security protocols"",""All of the above""],""indices"":[0,1,2,3]}";Moving to personal messaging apps is a common scam tactic. It avoids corporate oversight, is harder to trace, and creates a false sense of personal connection.;व्यक्तिगत मैसेजिंग ऐप्स पर जाना एक आम घोटाला रणनीति है। यह कॉर्पोरेट निगरानी से बचता है, ट्रेस करना कठिन है, और व्यक्तिगत कनेक्शन की झूठी भावना पैदा करता है।;2
dd5b317b-236a-4795-bc8c-82f08de2233a;b11cea3f-c479-497e-b528-4ebaa16f6657;The ₹1,00,000/month stipend for a student internship is:;छात्र इंटर्नशिप के लिए ₹1,00,000/माह का भत्ता है:;yes_no_reasoning;"[""Yes, it is realistic"",""No, it is unrealistically high""]";"{""answer"":""No, it is unrealistically high"",""index"":1}";This amount is 3-4 times higher than typical internship stipends at top tech companies. Unusually high offers are designed to cloud judgment with excitement.;यह राशि शीर्ष टेक कंपनियों में सामान्य इंटर्नशिप भत्ते से 3-4 गुना अधिक है। असामान्य रूप से उच्च ऑफर उत्साह के साथ निर्णय को धुंधला करने के लिए डिज़ाइन किए गए हैं।;3
cd893e7e-9b84-4e0a-aa77-fe8753b679db;b11cea3f-c479-497e-b528-4ebaa16f6657;What personal documents were requested, and why is this dangerous?;कौन से व्यक्तिगत दस्तावेज़ मांगे गए थे, और यह खतरनाक क्यों है?;short_answer;;"{""keywords"":[""aadhaar"",""pan"",""bank"",""identity theft"",""financial fraud"",""loan"",""steal""]}";Aadhaar, PAN, and bank details can be used for identity theft, fraudulent loans, and financial crimes. Never share these without verifying the request through official channels.;आधार, पैन और बैंक विवरण का उपयोग पहचान की चोरी, धोखाधड़ी वाले ऋण और वित्तीय अपराधों के लिए किया जा सकता है। आधिकारिक चैनलों के माध्यम से अनुरोध सत्यापित किए बिना इन्हें कभी साझा न करें।;4
70481159-aa7a-49dc-8d47-43b3a0efb892;b11cea3f-c479-497e-b528-4ebaa16f6657;The UPI payment is requested to user12345@ybl. What does this indicate?;UPI भुगतान user12345@ybl को अनुरोध किया गया है। यह क्या दर्शाता है?;multiple_choice;"[""It is a personal account, not a corporate Microsoft account"",""It is a verified Microsoft payment gateway"",""YBL is Microsoft official payment partner"",""All UPI IDs are equally safe""]";"{""answer"":""It is a personal account, not a corporate Microsoft account"",""index"":0}";Corporate payments never use personal UPI IDs like @ybl or @paytm. Official corporate payments come through verified business accounts or invoice-based systems.;कॉर्पोरेट भुगतान कभी भी @ybl या @paytm जैसी व्यक्तिगत UPI ID का उपयोग नहीं करते। आधिकारिक कॉर्पोरेट भुगतान सत्यापित व्यावसायिक खातों या चालान-आधारित प्रणालियों के माध्यम से आते हैं।;5
