id;case_id;evidence_type;content_en;content_hi;display_order
00605f41-f198-44d0-8cc7-3a3fadab79b7;3c01245a-b8b1-42b0-af72-0542b54bb54c;email;"From: scholarship.ministry@gov-india.net
To: priya.sharma@email.com
Subject: 🎉 CONGRATULATIONS! Government Scholarship Selection - ₹50,000

Dear Priya Sharma,

Congratulations! You have been selected for the Prime Minister's National Scholarship Scheme 2024. Your scholarship amount of ₹50,000 has been approved.

To claim your scholarship, please pay the processing fee of ₹499 within 24 hours.

Payment Link: bit.ly/claim-scholarship-2024

Regards,
Dr. R.K. Verma
Deputy Director, Ministry of Education
Government of India";"प्रेषक: scholarship.ministry@gov-india.net
प्राप्तकर्ता: priya.sharma@email.com
विषय: 🎉 बधाई हो! सरकारी छात्रवृत्ति चयन - ₹50,000

प्रिय प्रिया शर्मा,

बधाई हो! आपको प्रधानमंत्री राष्ट्रीय छात्रवृत्ति योजना 2024 के लिए चुना गया है। आपकी ₹50,000 की छात्रवृत्ति राशि स्वीकृत हो गई है।

अपनी छात्रवृत्ति प्राप्त करने के लिए, कृपया 24 घंटे के भीतर ₹499 का प्रोसेसिंग शुल्क भुगतान करें।

भुगतान लिंक: bit.ly/claim-scholarship-2024

सादर,
डॉ. आर.के. वर्मा
उप निदेशक, शिक्षा मंत्रालय
भारत सरकार";1
0f76290e-92ea-473a-85f3-bdfe3058818d;3c01245a-b8b1-42b0-af72-0542b54bb54c;url;"Domain Analysis:
- Sender domain: gov-india.net
- Official government domain: gov.in
- WHOIS data: Domain registered 2 weeks ago
- Registration location: Private proxy server";"डोमेन विश्लेषण:
- प्रेषक डोमेन: gov-india.net
- आधिकारिक सरकारी डोमेन: gov.in
- WHOIS डेटा: डोमेन 2 सप्ताह पहले पंजीकृत
- पंजीकरण स्थान: निजी प्रॉक्सी सर्वर";2
b16444be-1248-495f-bcfd-59db0274e06a;3c01245a-b8b1-42b0-af72-0542b54bb54c;log;"Payment Link Trace:
bit.ly/claim-scholarship-2024 → redirects to → payment-gateway-secure.xyz
- SSL Certificate: Self-signed
- No UPI QR code, only card payment option
- No official bank gateway integration";"भुगतान लिंक ट्रेस:
bit.ly/claim-scholarship-2024 → रीडायरेक्ट करता है → payment-gateway-secure.xyz
- SSL प्रमाणपत्र: स्व-हस्ताक्षरित
- कोई UPI QR कोड नहीं, केवल कार्ड भुगतान विकल्प
- कोई आधिकारिक बैंक गेटवे एकीकरण नहीं";3
580a846a-14e8-491a-a8ac-048ec25fc409;b11cea3f-c479-497e-b528-4ebaa16f6657;email;"From: hr.recruitment@microsoft-careers.org
To: rahul.kumar@college.edu
Subject: Offer Letter - Microsoft India Remote Internship Program

Dear Rahul Kumar,

We are pleased to inform you that you have been selected for Microsoft's Remote Internship Program 2024.

Position: Software Development Intern
Stipend: ₹1,00,000/month
Duration: 6 months

To proceed, please send the following documents:
1. Aadhaar Card (front and back)
2. PAN Card
3. Bank Account Details
4. 2 Passport-size Photos

Reply to this email or contact our HR representative on WhatsApp: +91 98xxx xxxxx

Best Regards,
Sarah Johnson
HR Manager, Microsoft India";"प्रेषक: hr.recruitment@microsoft-careers.org
प्राप्तकर्ता: rahul.kumar@college.edu
विषय: ऑफर लेटर - माइक्रोसॉफ्ट इंडिया रिमोट इंटर्नशिप प्रोग्राम

प्रिय राहुल कुमार,

हमें आपको सूचित करते हुए खुशी हो रही है कि आपको माइक्रोसॉफ्ट के रिमोट इंटर्नशिप प्रोग्राम 2024 के लिए चुना गया है।

पद: सॉफ्टवेयर डेवलपमेंट इंटर्न
भत्ता: ₹1,00,000/माह
अवधि: 6 महीने

आगे बढ़ने के लिए, कृपया निम्नलिखित दस्तावेज भेजें:
1. आधार कार्ड (आगे और पीछे)
2. पैन कार्ड
3. बैंक खाता विवरण
4. 2 पासपोर्ट साइज फोटो

इस ईमेल का जवाब दें या व्हाट्सएप पर हमारे HR प्रतिनिधि से संपर्क करें: +91 98xxx xxxxx

सादर,
सारा जॉनसन
HR मैनेजर, माइक्रोसॉफ्ट इंडिया";1
32d0765c-542b-4c94-a7ad-56ea94ed6311;b11cea3f-c479-497e-b528-4ebaa16f6657;chat;"WhatsApp Chat Log:

[+91 98xxx xxxxx] 10:30 AM
Hello Rahul! This is Sarah from Microsoft HR. Did you receive our email?

[Rahul] 10:32 AM
Yes, I got it. Is this genuine?

[+91 98xxx xxxxx] 10:35 AM
Of course! This is an official Microsoft program. Please send your documents urgently.

[+91 98xxx xxxxx] 10:40 AM
Also, we need you to pay ₹5,000 for laptop shipping. Microsoft will reimburse this in your first salary.

[+91 98xxx xxxxx] 10:45 AM
Payment link: gpay://upi/pay?pa=user12345@ybl&pn=Microsoft&am=5000";"व्हाट्सएप चैट लॉग:

[+91 98xxx xxxxx] सुबह 10:30
नमस्ते राहुल! मैं माइक्रोसॉफ्ट HR से सारा हूं। क्या आपको हमारा ईमेल मिला?

[राहुल] सुबह 10:32
हां, मिला। क्या यह असली है?

[+91 98xxx xxxxx] सुबह 10:35
बिल्कुल! यह एक आधिकारिक माइक्रोसॉफ्ट प्रोग्राम है। कृपया अपने दस्तावेज़ जल्दी भेजें।

[+91 98xxx xxxxx] सुबह 10:40
इसके अलावा, हमें लैपटॉप शिपिंग के लिए ₹5,000 का भुगतान करना होगा। माइक्रोसॉफ्ट इसे आपकी पहली सैलरी में वापस कर देगा।

[+91 98xxx xxxxx] सुबह 10:45
भुगतान लिंक: gpay://upi/pay?pa=user12345@ybl&pn=Microsoft&am=5000";2
b47538a1-e76c-400c-92a9-ebf0cc0dc950;b11cea3f-c479-497e-b528-4ebaa16f6657;url;"Domain Analysis:
- Sender domain: microsoft-careers.org
- Official Microsoft domain: microsoft.com
- No official Microsoft careers page at this domain
- UPI ID belongs to personal account, not corporate";"डोमेन विश्लेषण:
- प्रेषक डोमेन: microsoft-careers.org
- आधिकारिक माइक्रोसॉफ्ट डोमेन: microsoft.com
- इस डोमेन पर कोई आधिकारिक माइक्रोसॉफ्ट करियर पेज नहीं
- UPI ID व्यक्तिगत खाते की है, कॉर्पोरेट नहीं";3
9ec6a7b8-c634-4b3b-b434-d0c7483aa577;621e582c-3cb9-4053-8370-e8bd54624616;chat;"Instagram DM from @officiaI_traveler (note: lowercase L instead of i):

Hey there! 👋 I'm running an exclusive giveaway for my loyal followers!

🎁 Prize: iPhone 15 Pro Max
📦 Just pay ₹999 shipping fee

You've been selected as one of 10 lucky winners! 🎉

Send payment to: gpay.me/traveler-giveaway

Hurry! Offer expires in 2 hours! ⏰";"Instagram DM @officiaI_traveler से (नोट: i के बजाय छोटा L):

हाय! 👋 मैं अपने वफादार अनुयायियों के लिए एक विशेष गिवअवे चला रहा हूं!

🎁 पुरस्कार: iPhone 15 Pro Max
📦 बस ₹999 शिपिंग शुल्क भुगतान करें

आपको 10 भाग्यशाली विजेताओं में से एक के रूप में चुना गया है! 🎉

भुगतान भेजें: gpay.me/traveler-giveaway

जल्दी करें! ऑफर 2 घंटे में समाप्त! ⏰";1
6a01d9cc-d3e2-4c19-8c30-cb50e969f1f8;621e582c-3cb9-4053-8370-e8bd54624616;url;"Profile Comparison:
Real Account: @official_traveler (540K followers, verified)
Fake Account: @officiaI_traveler (using capital I instead of lowercase L)
- 2,340 followers
- Created 3 days ago
- Same profile photo (stolen)
- Bio copied exactly";"प्रोफ़ाइल तुलना:
असली अकाउंट: @official_traveler (540K फॉलोअर्स, वेरिफाइड)
नकली अकाउंट: @officiaI_traveler (छोटे L के बजाय बड़े I का उपयोग)
- 2,340 फॉलोअर्स
- 3 दिन पहले बनाया गया
- वही प्रोफाइल फोटो (चोरी)
- बायो बिल्कुल कॉपी किया गया";2
7ed6d050-f959-41d8-8aba-f82dee0c9d53;621e582c-3cb9-4053-8370-e8bd54624616;transaction;"Victim Reports (3 confirmed):
1. Anika, 19: Paid ₹999, no prize received
2. Vikram, 22: Paid ₹999, blocked after payment
3. Sneha, 24: Asked to pay ""customs fee"" of ₹2,499 after initial payment

Total amount scammed: ₹5,495+";"पीड़ित रिपोर्ट (3 पुष्ट):
1. अनिका, 19: ₹999 भुगतान किया, कोई पुरस्कार नहीं मिला
2. विक्रम, 22: ₹999 भुगतान किया, भुगतान के बाद ब्लॉक किया गया
3. स्नेहा, 24: प्रारंभिक भुगतान के बाद ₹2,499 का ""कस्टम शुल्क"" देने को कहा

कुल घोटाला राशि: ₹5,495+";3
724b98e7-0894-4c4f-b449-8bfde1c41d8a;621e582c-3cb9-4053-8370-e8bd54624616;log;"Technical Analysis:
- IP Location: Different country than claimed
- Profile changes: Name changed 4 times in 3 days
- Link tracking: gpay.me redirects to personal UPI
- No verified badge despite claiming to be official";"तकनीकी विश्लेषण:
- IP स्थान: दावे से अलग देश
- प्रोफ़ाइल परिवर्तन: 3 दिनों में 4 बार नाम बदला
- लिंक ट्रैकिंग: gpay.me व्यक्तिगत UPI पर रीडायरेक्ट करता है
- आधिकारिक होने का दावा करने के बावजूद कोई वेरिफाइड बैज नहीं";4
